freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,KIL,UA_PER,BE	7 	7 	8 	5 	5 	15 	3 	9 	9 	2 	4 	7 	4 	1 	5 	5 	6 	5 
A,NR,TOTAL,KIL,UA_PER,BG	31 	19 	27 	22 	6 	33 	11 	9 	15 	15 	7 	9 	10 	13 	15 	11 	7 	6 
A,NR,TOTAL,KIL,UA_PER,CH	: 	: 	: 	16 	8 	5 	11 	11 	14 	1 	17 	16 	6 	9 	14 	4 	9 	5 
A,NR,TOTAL,KIL,UA_PER,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	9 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,UA_PER,CZ	16 	1 	3 	4 	6 	4 	2 	8 	2 	3 	6 	10 	6 	2 	6 	11 	4 	7 
A,NR,TOTAL,KIL,UA_PER,DE	118 	88 	78 	103 	80 	82 	74 	91 	104 	74 	101 	93 	84 	93 	97 	64 	90 	84 
A,NR,TOTAL,KIL,UA_PER,DK	1 	3 	8 	10 	5 	4 	4 	2 	5 	5 	5 	5 	3 	6 	4 	3 	6 	6 
A,NR,TOTAL,KIL,UA_PER,EE	: 	0 	7 	5 	9 	6 	3 	0 	2 	1 	0 	2 	3 	1 	1 	0 	0 	1 
A,NR,TOTAL,KIL,UA_PER,EL	22 	13 	8 	8 	16 	8 	10 	5 	4 	6 	7 	11 	13 	5 	2 	1 	8 	1 
A,NR,TOTAL,KIL,UA_PER,ES	30 	33 	23 	13 	10 	15 	16 	17 	13 	12 	13 	10 	7 	16 	5 	10 	12 	14 
