freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,COLLIS,INJ_SRL,PAS,AT	1 	1 	0 	0 	2 	0 	0 	6 	0 	2 	5 	5 	5 	0 	1 	1 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,BE	0 	2 	10 	0 	169 	0 	0 	0 	0 	0 	9 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,BG	29 	0 	0 	1 	0 	0 	0 	0 	0 	2 	0 	0 	1 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,CH	: 	: 	: 	2 	0 	1 	0 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,CZ	1 	1 	28 	0 	1 	4 	0 	0 	7 	0 	6 	0 	1 	2 	10 	7 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,DE	2 	3 	21 	0 	3 	23 	0 	0 	4 	1 	27 	35 	2 	5 	1 	0 	16 	0 
A,NR,COLLIS,INJ_SRL,PAS,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,EL	2 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,ES	0 	1 	0 	0 	0 	0 	1 	3 	0 	0 	0 	4 	5 	19 	0 	0 	6 	0 
A,NR,COLLIS,INJ_SRL,PAS,EU27_2020	: 	: 	: 	: 	203 	33 	97 	9 	15 	10 	63 	57 	19 	37 	14 	10 	41 	13 
A,NR,COLLIS,INJ_SRL,PAS,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,FR	2 	0 	0 	2 	0 	0 	1 	0 	3 	0 	1 	0 	3 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,HR	: 	: 	: 	: 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 
A,NR,COLLIS,INJ_SRL,PAS,HU	2 	3 	3 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	2 	0 
A,NR,COLLIS,INJ_SRL,PAS,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,IT	15 	0 	0 	18 	0 	0 	0 	0 	0 	0 	13 	2 	0 	0 	0 	2 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,PAS,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,PAS,NL	4 	0 	0 	0 	0 	0 	28 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	8 
A,NR,COLLIS,INJ_SRL,PAS,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,PL	0 	0 	3 	0 	9 	0 	59 	0 	0 	2 	1 	11 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,PT	: 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,RO	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	5 
A,NR,COLLIS,INJ_SRL,PAS,SE	: 	0 	0 	0 	8 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,SI	: 	0 	4 	0 	0 	5 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,PAS,SK	: 	0 	0 	0 	11 	0 	5 	0 	0 	0 	1 	0 	2 	0 	0 	0 	15 	0 
A,NR,COLLIS,INJ_SRL,PAS,TR	10 	0 	28 	0 	25 	5 	12 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 	: 
A,NR,COLLIS,INJ_SRL,PAS,UK	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,TOTAL,AT	5 	4 	0 	5 	3 	0 	0 	11 	0 	4 	5 	6 	8 	0 	3 	2 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,BE	0 	3 	15 	0 	171 	0 	1 	0 	1 	0 	10 	1 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,BG	31 	4 	5 	4 	0 	0 	3 	0 	0 	2 	0 	0 	3 	1 	1 	5 	2 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,CH	: 	: 	: 	2 	0 	1 	1 	11 	0 	2 	0 	0 	1 	0 	0 	1 	1 	0 
